,Unnamed: 0,No,company_name,company_type,company_loc,company_size,job_name,work_exp,job_welfare,job_salary,edu_level,emp_type,company_score,low_salary,high_salary,avg_salary,company_city
0,0,1,南京东软睿道信息技术有限公司,上市公司,南京,10000人以上,东软JAVA开发工程师（初级）,不限,"五险一金,绩效奖金,交通补助,带薪年假,弹性工作,补充医疗保险,定期体检,高温补贴",6K-8K,大专,全职,665.26013,6000.0,8000.0,7000.0,南京
1,1,2,深圳市快鸽互联网科技有限公司,民营,深圳-南山区,100-499人,高级JAVA开发工程师,3-5年,"J2EE,数据库,MySQL,zookeeper,MongoDB,docker,五险一金,绩效奖金,带薪年假,员工旅游,全勤奖,补充医疗保险,项目奖金,周末双休",15K-25K,大专,全职,659.3659700000001,15000.0,25000.0,20000.0,深圳
2,2,3,PPmoney万惠集团,上市公司,上海-浦东新区,1000-9999人,资深java开发工程师,5-10年,"Java,五险一金,周末双休",20K-30K,本科,全职,658.7439999999999,20000.0,30000.0,25000.0,上海
3,3,4,上海鸿冠信息科技股份有限公司济南开发中心,民营,济南-高新区,100-499人,Java高级开发工程师,5-10年,"五险一金,绩效奖金,加班补助,带薪年假,补充医疗保险,定期体检,节日福利",12K-16K,大专,全职,657.61993,12000.0,16000.0,14000.0,济南
4,4,5,深圳市深蓝信息科技开发有限公司,民营,深圳,20-99人,Java前端开发工程师,不限,"五险一金,房补,带薪年假,员工旅游,节日福利,加班补助,年底双薪,周末双休",4K-8K,本科,全职,653.3685,4000.0,8000.0,6000.0,深圳
5,5,6,金蝶软件（中国）有限公司,上市公司,深圳,1000-9999人,java开发（集成云）,3-5年,"节日福利,五险一金,年底双薪,绩效奖金,定期体检,员工旅游,14薪,弹性工作",10K-15K,本科,全职,652.22546,10000.0,15000.0,12500.0,深圳
6,6,7,西安云智创软件开发有限公司,国企,西安,20人以下,初级Java开发工程师/Java实习生,不限,"节日福利,五险一金,周末双休,年底双薪,绩效奖金,加班补助,带薪年假,餐补",4K-6K,本科,全职,650.7308,4000.0,6000.0,5000.0,西安
7,7,8,天津银海环球信息技术有限公司,股份制企业,天津,20-99人,java开发工程师,1-3年,"五险一金,年底双薪,带薪年假,员工旅游,高温补贴,绩效奖金,节日福利,采暖补贴",6K-10K,本科,全职,650.6793,6000.0,10000.0,8000.0,天津
8,8,9,南昌诺奥文化传播有限责任公司,民营,南昌,100-499人,Java开发工程师（双休+项目奖金）,不限,"五险一金,年底双薪,绩效奖金,加班补助,餐补,带薪年假,员工旅游,节日福利",5.5K-10K,大专,全职,650.0642,5500.0,10000.0,7750.0,南昌
9,9,10,西安软慧软件开发有限公司,国企,西安-长安区,100-499人,Java开发工程师,无经验,"五险一金,年底双薪,加班补助,全勤奖,弹性工作,免费班车,员工旅游,节日福利",4K-6K,大专,全职,646.11743,4000.0,6000.0,5000.0,西安
10,10,11,北京润斯顿教育科技有限公司,事业单位,北京,500-999人,java开发工程师定岗实习生,不限,"五险一金,年底双薪,包住,带薪年假",8K-10K,大专,全职,643.61786,8000.0,10000.0,9000.0,北京
11,11,12,迈思诚(大连)信息技术有限公司,民营,大连-高新园区,20人以下,SAP ABAP开发顾问 JAVA可转,1-3年,"无试用期,五险一金,绩效奖金",4K-6K,大专,全职,642.76904,4000.0,6000.0,5000.0,大连
12,12,13,北京沐屿科技发展有限公司,股份制企业,北京,1000-9999人,Java开发工程师,3-5年,"Java,五险一金,绩效奖金,带薪年假,补充医疗保险,节日福利",15K-20K,本科,全职,641.4565,15000.0,20000.0,17500.0,北京
13,13,14,福州中宏立达信息技术有限公司,其它,福州,20-99人,JAVA开发实习生（实习待遇1.5-3k）,无经验,"周末双休,年底双薪,五险一金,绩效奖金,全勤奖,带薪年假,节日福利,员工旅游",1.5K-3K,本科,实习,641.21606,1500.0,3000.0,2250.0,福州
14,14,15,广州仲昌一科信息科技有限公司,民营,广州-越秀区,100-499人,JAVA开发工程师,3-5年,"五险一金,绩效奖金,加班补助,带薪年假,节日福利",8K-10K,大专,全职,639.89044,8000.0,10000.0,9000.0,广州
15,15,16,北京润斯顿教育科技有限公司,事业单位,北京-海淀区,500-999人,java开发初级工程师,不限,"住房补贴,五险一金,年底双薪,全勤奖,带薪年假,员工旅游,包住",5.9K-11.9K,大专,全职,638.9825400000001,5900.0,11900.0,8900.0,北京
16,16,17,广州仲昌一科信息科技有限公司,民营,佛山-南海区,100-499人,Java开发工程师,1-3年,"五险一金,带薪年假,定期体检,节日福利,加班补助",6K-8K,大专,全职,638.57825,6000.0,8000.0,7000.0,佛山
17,17,18,北京润斯顿教育科技有限公司,事业单位,成都,500-999人,java开发工程师定岗实习生,不限,"五险一金,年底双薪,包住,带薪年假",8K-10K,大专,全职,636.86975,8000.0,10000.0,9000.0,成都
18,18,19,北京中交兴路信息科技有限公司,股份制企业,北京-海淀区,500-999人,高级java开发工程师,5-10年,"Java,MySQL,节日福利,五险一金,餐补,带薪年假,补充医疗保险,定期体检,免费班车,健身俱乐部",20K-30K,本科,全职,635.987,20000.0,30000.0,25000.0,北京
19,19,20,深圳极联信息技术股份有限公司,民营,深圳-南山区,100-499人,中级java开发工程师,1-3年,"Java,springmvc,后端开发,springboot,springcloud,五险一金,全勤奖,交通补助,通讯补助,弹性工作,定期体检,员工旅游,节日福利",7K-12K,大专,全职,634.8025,7000.0,12000.0,9500.0,深圳
20,20,21,北京润斯顿教育科技有限公司,事业单位,成都-青羊区,500-999人,java开发初级工程师,不限,"住房补贴,五险一金,年底双薪,全勤奖,带薪年假,员工旅游,包住",5.9K-11.9K,大专,全职,634.7569599999999,5900.0,11900.0,8900.0,成都
21,21,22,北京润斯顿教育科技有限公司,事业单位,苏州,500-999人,java开发工程师定岗实习生,不限,"五险一金,年底双薪,包住,带薪年假",8K-10K,大专,全职,634.4847,8000.0,10000.0,9000.0,苏州
22,22,23,北京寓客资产管理有限公司,民营,北京,1000-9999人,java开发工程师,3-5年,"五险一金,绩效奖金,周末双休,带薪年假,节日福利,不加班",15K-20K,本科,全职,634.0017,15000.0,20000.0,17500.0,北京
23,23,24,北京润斯顿教育科技有限公司,事业单位,南京,500-999人,java开发工程师定岗实习生,不限,"五险一金,年底双薪,包住,带薪年假",8K-10K,大专,全职,633.6739,8000.0,10000.0,9000.0,南京
24,24,25,苏州学码思企业管理合伙企业(有限合伙),股份制企业,苏州,100-499人,年终奖金+Java软件开发工程师/Java程序员,不限,"五险一金,年底双薪,绩效奖金,包住,交通补助,员工旅游,节日福利,不加班",6K-8K,大专,全职,633.372,6000.0,8000.0,7000.0,苏州
