,No,company_name,company_type,company_loc,company_size,job_name,work_exp,job_welfare,job_salary,edu_level,emp_type,company_score
0,1,法雷奥舒适及驾驶辅助系统武汉技术中心,外商独资,武汉,500-999人,System Engineer/系统工程师（汽车）,不限,"['节日福利', '五险一金', '绩效奖金', '股票期权', '包吃']",1K以下,本科,全职,11036.334
1,2,捷信消费金融有限公司,外商独资,天津,10000人以上,java,3-5年,"['节日福利', '五险一金', '年底双薪', '绩效奖金', '弹性工作']",8K-15K,本科,全职,10513.354
2,3,时代软件有限公司,上市公司,佛山-禅城区,100-499人,急招Python开发助理/实习生,不限,"['周末双休', '五险一金', '年底双薪', '绩效奖金', '补充医疗保险']",4K-6K,不限,全职,650.32666
3,4,中国电信股份有限公司云计算分公司,国企,北京,100-499人,python开发工程师,5-10年,"['周末双休', '五险一金', '高温补贴', '采暖补贴', '员工旅游']",30K-50K,本科,全职,649.66797
4,5,北京欣如信科技有限公司,股份制企业,成都-武侯区,1000-9999人,Python开发学徒（可实习可带）+3600起薪,不限,[],6K-8K,大专,全职,649.09265
5,6,汇才软件南海分公司,上市公司,佛山-南海区,100-499人,急招Python开发助理/实习生,不限,"['周末双休', '五险一金', '补充医疗保险', '定期体检', '员工旅游']",4K-6K,不限,全职,642.0558
6,7,湖南华信智原信息科技有限公司,民营,长沙-开福区,10000人以上, Python开发助理+双休,不限,"['五险一金', '年底双薪', '绩效奖金', '带薪年假', '员工旅游']",4K-6K,不限,全职,633.4569
7,8,北京欣如信科技有限公司,股份制企业,成都,1000-9999人,python爬虫开发工程师（初级）,不限,"['五险一金', '绩效奖金', '加班补助', '全勤奖', '包住']",6K-8K,大专,全职,629.5433
8,9,杭州玛源生物科技有限公司,民营,杭州-西湖区,100-499人,python运维开发实习,1年以下,"['五险一金', '年底双薪', '绩效奖金', '房补', '不加班']",4K-7K,大专,全职,629.34784
9,10,北京欣如信科技有限公司,股份制企业,成都,1000-9999人,Python开发助理+双休,不限,"['周末双休', '五险一金', '年底双薪', '绩效奖金', '包吃']",4K-6K,不限,全职,627.9852
10,11,深圳人人科技龙岗分公司,外商独资,深圳-龙岗区,1000-9999人,Python编程开发实习/助理4k,不限,"['五险一金', '年底双薪', '绩效奖金', '全勤奖', '餐补']",4K-5K,不限,全职,627.67535
11,12,青岛安铭信息科技有限公司,民营,青岛,,python开发工程师,3-5年,"['五险一金', '年底双薪', '全勤奖', '带薪年假', '餐补']",6K-10K,大专,全职,626.58093
12,13,时代软件有限公司,上市公司,佛山-禅城区,100-499人,Python脚本开发工程师/可培养,不限,"['周末双休', '五险一金', '年底双薪', '绩效奖金', '补充医疗保险']",4K-6K,不限,全职,626.42664
13,14,北京欣如信科技有限公司,股份制企业,成都-武侯区,1000-9999人,Python爬虫开发工程师 (8000-16000),不限,"['住房补贴', '五险一金', '年底双薪', '年终分红', '加班补助']",8K-10K,大专,全职,625.46326
14,15,深圳市德科信息技术有限公司广州分公司,股份制企业,广州,1000-9999人,python开发,1-3年,"['五险一金', '年底双薪', '绩效奖金', '包吃', '带薪年假']",6K-8K,本科,全职,616.69836
15,16,河南恒品科技有限公司,民营,郑州-郑东新区 ,20-99人,风控系统开发工程师（python）,3-5年,"['五险一金', '年终分红', '加班补助', '交通补助', '餐补']",10K-20K,本科,全职,614.9667
16,17,河南恒品科技有限公司,民营,郑州-郑东新区 ,20-99人,大数据开发工程师（python）,3-5年,"['五险一金', '年终分红', '加班补助', '交通补助', '餐补']",10K-20K,本科,全职,609.8467
17,18,沈阳东软睿道教育服务有限公司,民营,沈阳,1000-9999人,软件开发助理（python方向）,不限,"['五险一金', '绩效奖金', '通讯补助', '带薪年假', '补充医疗保险']",4K-6K,大专,全职,606.58093
18,19,苏州软世通信息技术有限公司,民营,苏州-姑苏区,20-99人,诚聘python软件开发程序员+双休五险一金,不限,"['五险一金', '年底双薪', '绩效奖金', '加班补助', '带薪年假']",4K-6K,大专,全职,599.65515
19,20,成都棕榈创想科技有限公司,民营,成都,100-499人,python开发工程师,1-3年,"['五险一金', '全勤奖', '餐补', '带薪年假', '14薪']",10K-20K,本科,全职,593.43524
